numero,file_url,file_txt
134,http://contratos.gastosabertos.org/files/contrato-134.doc,http://contratos.gastosabertos.org/files/contrato-134.txt
135,http://contratos.gastosabertos.org/files/contrato-135.pdf,
136,http://contratos.gastosabertos.org/files/contrato-136.pdf,
137,http://contratos.gastosabertos.org/files/contrato-137.pdf,
138,http://contratos.gastosabertos.org/files/contrato-138.doc,http://contratos.gastosabertos.org/files/contrato-138.txt
139,http://contratos.gastosabertos.org/files/contrato-139.doc,http://contratos.gastosabertos.org/files/contrato-139.txt
140,http://contratos.gastosabertos.org/files/contrato-140.pdf,
141,http://contratos.gastosabertos.org/files/contrato-141.doc,http://contratos.gastosabertos.org/files/contrato-141.txt
142,http://contratos.gastosabertos.org/files/contrato-142.doc,http://contratos.gastosabertos.org/files/contrato-142.txt
143,http://contratos.gastosabertos.org/files/contrato-143.docx,http://contratos.gastosabertos.org/files/contrato-143.txt
144,http://contratos.gastosabertos.org/files/contrato-144.doc,http://contratos.gastosabertos.org/files/contrato-144.txt
145,http://contratos.gastosabertos.org/files/contrato-145.doc,http://contratos.gastosabertos.org/files/contrato-145.txt
146,http://contratos.gastosabertos.org/files/contrato-146.doc,http://contratos.gastosabertos.org/files/contrato-146.txt
147,http://contratos.gastosabertos.org/files/contrato-147.doc,http://contratos.gastosabertos.org/files/contrato-147.txt
148,http://contratos.gastosabertos.org/files/contrato-148.pdf,
149,http://contratos.gastosabertos.org/files/contrato-149.doc,http://contratos.gastosabertos.org/files/contrato-149.txt
150,http://contratos.gastosabertos.org/files/contrato-150.doc,http://contratos.gastosabertos.org/files/contrato-150.txt
151,http://contratos.gastosabertos.org/files/contrato-151.doc,http://contratos.gastosabertos.org/files/contrato-151.txt
152,http://contratos.gastosabertos.org/files/contrato-152.doc,http://contratos.gastosabertos.org/files/contrato-152.txt
153,http://contratos.gastosabertos.org/files/contrato-153.doc,http://contratos.gastosabertos.org/files/contrato-153.txt
154,http://contratos.gastosabertos.org/files/contrato-154.doc,http://contratos.gastosabertos.org/files/contrato-154.txt
155,,http://contratos.gastosabertos.org/files/contrato-155.txt
156,,http://contratos.gastosabertos.org/files/contrato-156.txt
157,,http://contratos.gastosabertos.org/files/contrato-157.txt
158,,http://contratos.gastosabertos.org/files/contrato-158.txt
159,http://contratos.gastosabertos.org/files/contrato-159.pdf,
160,http://contratos.gastosabertos.org/files/contrato-160.doc,http://contratos.gastosabertos.org/files/contrato-160.txt
161,http://contratos.gastosabertos.org/files/contrato-161.doc,http://contratos.gastosabertos.org/files/contrato-161.txt
162,http://contratos.gastosabertos.org/files/contrato-162.doc,http://contratos.gastosabertos.org/files/contrato-162.txt
163,http://contratos.gastosabertos.org/files/contrato-163.doc,http://contratos.gastosabertos.org/files/contrato-163.txt
164,http://contratos.gastosabertos.org/files/contrato-164.doc,http://contratos.gastosabertos.org/files/contrato-164.txt
165,http://contratos.gastosabertos.org/files/contrato-165.docx,http://contratos.gastosabertos.org/files/contrato-165.txt
166,http://contratos.gastosabertos.org/files/contrato-166.pdf,
167,http://contratos.gastosabertos.org/files/contrato-167.doc,http://contratos.gastosabertos.org/files/contrato-167.txt
168,http://contratos.gastosabertos.org/files/contrato-168.pdf,
169,http://contratos.gastosabertos.org/files/contrato-169.doc,http://contratos.gastosabertos.org/files/contrato-169.txt
170,http://contratos.gastosabertos.org/files/contrato-170.doc,http://contratos.gastosabertos.org/files/contrato-170.txt
171,,http://contratos.gastosabertos.org/files/contrato-171.txt
172,,http://contratos.gastosabertos.org/files/contrato-172.txt
173,http://contratos.gastosabertos.org/files/contrato-173.doc,http://contratos.gastosabertos.org/files/contrato-173.txt
174,http://contratos.gastosabertos.org/files/contrato-174.pdf,http://contratos.gastosabertos.org/files/contrato-174.txt
175,http://contratos.gastosabertos.org/files/contrato-175.doc,http://contratos.gastosabertos.org/files/contrato-175.txt
176,http://contratos.gastosabertos.org/files/contrato-176.docx,http://contratos.gastosabertos.org/files/contrato-176.txt
177,http://contratos.gastosabertos.org/files/contrato-177.pdf,http://contratos.gastosabertos.org/files/contrato-177.txt
178,http://contratos.gastosabertos.org/files/contrato-178.pdf,http://contratos.gastosabertos.org/files/contrato-178.txt
179,http://contratos.gastosabertos.org/files/contrato-179.doc,http://contratos.gastosabertos.org/files/contrato-179.txt
180,http://contratos.gastosabertos.org/files/contrato-180.docx,http://contratos.gastosabertos.org/files/contrato-180.txt
181,http://contratos.gastosabertos.org/files/contrato-181.docx,http://contratos.gastosabertos.org/files/contrato-181.txt
182,http://contratos.gastosabertos.org/files/contrato-182.docx,http://contratos.gastosabertos.org/files/contrato-182.txt
183,http://contratos.gastosabertos.org/files/contrato-183.docx,http://contratos.gastosabertos.org/files/contrato-183.txt
184,http://contratos.gastosabertos.org/files/contrato-184.doc,http://contratos.gastosabertos.org/files/contrato-184.txt
185,http://contratos.gastosabertos.org/files/contrato-185.pdf,
186,http://contratos.gastosabertos.org/files/contrato-186.docx,http://contratos.gastosabertos.org/files/contrato-186.txt
187,http://contratos.gastosabertos.org/files/contrato-187.pdf,http://contratos.gastosabertos.org/files/contrato-187.txt
188,http://contratos.gastosabertos.org/files/contrato-188.pdf,http://contratos.gastosabertos.org/files/contrato-188.txt
189,http://contratos.gastosabertos.org/files/contrato-189.doc,http://contratos.gastosabertos.org/files/contrato-189.txt
190,http://contratos.gastosabertos.org/files/contrato-190.pdf,http://contratos.gastosabertos.org/files/contrato-190.txt
191,http://contratos.gastosabertos.org/files/contrato-191.pdf,http://contratos.gastosabertos.org/files/contrato-191.txt
192,http://contratos.gastosabertos.org/files/contrato-192.pdf,http://contratos.gastosabertos.org/files/contrato-192.txt
193,http://contratos.gastosabertos.org/files/contrato-193.pdf,http://contratos.gastosabertos.org/files/contrato-193.txt
194,http://contratos.gastosabertos.org/files/contrato-194.zip,
